Month,Calendar Year,Fiscal Year,Withholding,Income Tax Estimates & Finals,Sales and Use,Business Use,Room Occupancy,Electric Generation,Business Entity,Corporation Business,Pass-Through Entity,Unrelated Business Income,"Cable, Satellite and Video",PEG Account,Electric & Power,Gas & Electric,Railroads,Estate & Gift,Insurance Premiums Domestic,Insurance Premiums Foreign,Health Care Centers,Nonadmitted / Unauthorized / Captive Insurers,Alcoholic Beverages,Cigarette Tax,Electronic Cigarette Products,Tobacco Products,Cannabis Tax,Controlling Interest Transfer,Real Estate Conveyance,Petroleum Gross Earnings,Admissions & Dues,Admissions & Dues and TNC Fee,Dry Cleaners,Occupational Tax,Rental Surcharge,Solid Waste,Tourism Surcharge,Controlled Substances,Prepaid Wireless E-9-1-1 Fee,Paid Preparer Fee,Repealed Taxes,Nursing Home User Fee,Hospitals,Intermediate Care Facility,Ambulatory Surgical Centers,Gasoline,Special Fuel,Motor Carrier,Highway Use Fee,Licenses,Beverage Container Deposits,Total Revenue
January,2020,FY 2019-20,724281788.4,415285012.94,490733210.14,9794587.6,8316695.06,,-3918294.96,26297237.8,149497570.02,187268.19,10183465,1172346.22,32346223,16162272.27,0,19429416.94,-32201,4565613.5,0,50309.53,6253243.19,24856604.83,428570.78,1638741.89,,506122.24,16781456.02,57666866.04,,5456969.47,104567.93,5314700.81,939.53,531177,473958.02,3766.92,240609.15,14900,18763.66,25259089.86,216744620,1169145,4561262,31159821.1,9785400.78,680565.51,,253759.31,7865574.36,2322123716.05
February,2020,FY 2019-20,579410629.63,41170919.79,272268263.22,3700412.95,7665482.39,,-605015.41,17072421.48,15759798.64,87270.35,0,3521.83,348934,440759,0,13084588.07,2914227,23816431.31,1212221,1175907.85,2451388.93,23110023.57,233085.11,1660713.68,,385108.4,11043318.68,23101283.08,,3998727.52,49210.51,242282.48,360021.62,192478,386840,6147.34,183845.79,66200,46551.7,5370411.37,0,280220,76230,29900359.69,9485802.45,118605.65,,191470.26,1422424.3,1093889523.23
March,2020,FY 2019-20,728968894,63769238,410362006.4,1421833.5,7951920.78,,81768.6,175489702.91,273508593.39,508323.51,0,220.83,0,4243.15,71.8,8030217.87,7134909.3,40421140.93,1126541,4564123.36,7822225.24,31018136.84,417207.48,1484285.88,,1429397,8482908.51,361925.34,,4231864.84,10280.1,220421.11,0,0,369235,15557.68,199073.09,7400,120,285313.79,0,231945,0,28777841.69,8622299.02,2428531.4,,169275.27,127325.37,1820056318.98
April,2020,FY 2019-20,550350397.13,118791681.24,327389305.81,6833814.41,3949067.85,,240095.61,38896107.19,62471304.57,89264.04,12404303,1073745.83,32024919,22035898,151.2,2359540.09,0,812408.86,0,162462.79,5720419.19,21836459.81,245323.28,1831787.59,,417597.71,38245.2,42571481.05,,3594702.4,43853.59,88162.31,0,427688,348866.2,1007,267591.83,1000,103348.33,16195806.96,96986352,893436,3285229,25564380.23,9339562.04,62675.51,,119533.04,7622021.32,1417490996.21
May,2020,FY 2019-20,493712367.12,53513382.4,231735048.08,5546922.93,2273053.95,,-65932.26,15150213.96,12762942.42,81944.79,1869212,100673.83,732506,995800.56,0,3947143.59,277087.98,1276854.58,0,526961.76,2073490.65,23318912.02,302870.06,1915973.52,,129782.25,4622205.39,6277963.33,,2505925.37,39742.59,35403.25,0,274239,163088.23,2253.12,148536.41,500,170,3298491.55,0,517801,445285,16653280.46,9183506.99,62439.17,,138967.88,1626525.06,898173535.99
June Final,2020,FY 2019-20,1221655693.85,1319174157.38,922199016.18,7992339.18,8164326.1,,226114.19,313700648.33,257745120.27,132597.52,14573594,0,31274088,12902218.1,0,3665657.16,10189518.65,35673615.79,208369,5129.88,18837868.11,46823503.9,987004.91,1966358.88,,521650,38705276.03,29346294.9,,2817191.37,16133.27,38215.71,0,0,192675.57,805,212341.77,800,6236.05,24997119.74,320717204.44,1431057,2965641.07,49410718.54,20522364.19,4020511.77,,207503.66,14775641.86,4739002321.32
July,2020,FY 2020-21,,,,,,,,,,241527.26,,1130026.44,,,647551,22357918.58,-1392999.57,1334404.67,848171,11368,,12556890.22,,2123110.33,,543939.7,,,,3453955.72,50228.42,41070.53,0,663224,291205.65,489.14,246489.29,700,186659.13,,,,,,,,,215948.59,,45551878.1
August,2020,FY 2020-21,358927004.83,33233595.25,369819357.02,,5337735.25,,,16273075.1,22434267.77,46663.42,-5540,17687.83,0,1776,0,21829767.58,926857,2325766.63,0,471980.23,7318348.65,28623204.64,323688.26,2117519.67,,50287.55,46623261.02,188065.03,,2450788.2,15062.47,22685.68,0,96005,321565.21,245,213046.69,500,95517.1,345933.21,7400,248618,586177.33,29008549.53,10469316.03,89440.09,,306077,3773.86,961165069.13
September,2020,FY 2020-21,507676714.53,313404766.18,400474193.75,,8120629.47,,,142120439.12,233867099.47,370945.98,389805,0,0,16470.53,5476.78,11928163.39,5024080.3,25623190.61,255580,18798.39,6021984.07,31569078.88,398806.06,1982421.87,,166064.36,34517062.12,1289403.04,,1640176.47,4502.85,40700.4,0,0,328940,285,157156.55,600,-216911.99,791733.19,-965.97,252256,69907.44,31535493.35,10880691.93,2593278.45,,611021.22,23921.94,1773953960.73
October,2020,FY 2020-21,516756133.4,106449264.28,391235586.58,,6412891.15,,,30012112.4,28469621.85,99348.5,14779971,-767512,49770617,9509348.08,13436.41,28310221.39,75128,208580.15,0,139085.51,3020087.73,23455011.61,380986,1870483.03,,1995574.58,28559696.03,28998077.52,,3367614.49,39287.28,43734.89,0,732016.79,355219.64,160,358704.43,13900,1475480.3,18585040.25,228998163,811187,1658158.26,28410824.39,10310651.12,213936.7,,284953.89,8812493.26,1574225275.89
November,2020,FY 2020-21,540991759.73,36229855.14,481108060.53,,6722042.89,,,33501620.62,16656588.76,181915.65,1426351.8,72592,491284,144729,0,16716289.31,359621,1240010.08,0,861508.24,10944538.26,27369031.87,481462.66,2110606.8,,41111.86,30416084.77,21756767.81,,2646484.42,36606.31,45934.84,202.97,989.89,344729.86,245,222191.08,20027.39,142589.86,7511010.37,25696419,629493.3,301563,29321566.09,10622408.69,128182.29,,314287.9,2190175.49,1309998940.53
December,2020,FY 2020-21,717641454.95,82449899.31,435769875.94,,5193894.34,,,167939197.09,212671624.42,573367.55,-19039.02,0,0,941166.99,0,28438872.52,4383013,24738380.81,255766,2701.29,6485525.74,32565956.18,416654.55,1791150.73,,2039565,27064329.52,184859,,2645153.29,5035.21,552153.62,200,0,286682.98,245,206301.81,24926.31,-642436.02,5039204.39,0,239088.32,379364.35,26657759.64,9714409.2,2064857.27,,243655.38,672073.3,1799616889.96
January,2021,FY 2020-21,643178838.36,524074611.12,364292477.46,,3035755.06,,,32646955.84,229324230.12,21066.5,9169767.59,660214,12548167,8027891.9,71.2,10532197.44,32,783963.69,0,67927.6,4145402.29,22557770.98,366281.62,1783257.95,,152799,27183580.9,18993402.56,,3998096.25,58338.82,5744635.97,183163,361761,310187.78,385,198408.58,20598.85,-89675.26,17550298.92,184755420,674411,4136990,27021695.11,10179702.3,701183.2,,271169.58,6999553.31,2176622985.59
February,2021,FY 2020-21,625674819.34,37778880.57,421099639.83,,4131980.38,,,16318877.59,14568886.19,93100.64,407656,-274518,13061923,7858077.31,0,22435517.12,5493119,17462583.65,0,709766.59,5587461.29,20814952.67,319713.62,1655873.55,,3003277.6,24192748.23,28541908.96,,3611602.41,42373.04,165924.03,140990.83,346761,284549.94,4093.3,213301.94,7141.7,-51017.66,3143622.95,30293272,739284.77,572144,25986313.8,8703740.95,227423.94,,229218.32,2892353.49,1348489339.88
March,2021,FY 2020-21,811183119.73,80478732.2,469040020.2,,5323002.51,,,164311581.01,391450096.11,476806.44,0,0,147070.69,88833,0,24845079.02,9420532.89,44951220.92,196111,6309092.21,7923655.42,27675701.11,531669,1702958.75,,336294.39,20603894.24,157110.88,,3501475.32,14374.38,155354.92,37248,9584,255249.8,1350.51,293969.18,2992.46,2665061.98,781902.92,-2421.71,451138.74,108755,23146994.26,9600419.03,1993560.53,,288752.15,26313.35,2110484656.54
April,2021,FY 2020-21,613283902.14,514392013.33,467528513.82,,6159200.33,,,134256439.93,153931997.03,458084.74,9202706,1104734.44,18348957,14927497.16,0,58469610.99,-675922.63,1791024.25,0,52995.45,6374422.55,23784889.93,454833.76,1837083.27,,257464,21765978.26,54462517.24,,5743704.68,51418.67,47351.52,3748.73,666956,351190.84,962.74,302541.39,1096.76,473999.15,17399385.58,209350488,904555,4050542,28341239.74,10349107.77,722588.03,,263770.02,9145564.99,2390339154.6
May,2021,FY 2020-21,530351090.8,1011469640.08,324842809.46,,5546157.47,,,70716860.75,30405257.27,552743.03,320442,16665,10799227,13270498.06,0,37932608.19,1132079.47,3944372.92,0,342522.48,4214057.27,24308027.35,429431.16,1831811.67,,322811.4,28387786.39,1901887.53,,2711881.61,14838.83,53220.67,0,0,320073.18,245,109740,897.85,144850.54,5370650.92,0,236931,1136385,28492405.38,12265134.93,169577.21,,216356.77,498546.16,2154780521.8
June Final,2021,FY 2020-21,1310991534.26,356705288.78,1146798804.96,,24647008.88,,,336208591.01,220045758.94,277429.35,9338039,81,33169974.55,14295645.53,20,19542662.71,7789128,34389154.88,355763,37599.11,17075681.64,48066745.36,1101704.72,1717943.75,,1456403.36,85348032.5,75859711.39,,4246221.75,3405.3,35934.09,746,0,258875.83,1805,-8632.67,594.62,2713670.07,24785326.49,232892079,1386196,4838579.53,61476118.8,21488316.92,2267629.35,,209024.51,12240494.98,4114055092.25
July,2021,FY 2021-22,,,,,,,,,,9801.25,,1025278,,,515741.2,12915175.73,-2852532,837700.1,2468028,30551.66,,9604752.14,,1892055.36,,313813.07,,,,4282755.62,49045.29,51947.62,,704587.6,467205.92,2710.1,281723.57,300,-5527944.91,,,,,,,,,28656.16,,27101351.48
August,2021,FY 2021-22,390154655.94,38465857.21,409145777.04,,12813693.38,,,21854874.21,25306258.57,31634.51,1194116.23,-594829.87,0,138390.42,0,8434785.49,466564.24,1885860.33,5921,518316.26,7017275.12,28419243.29,482319.82,2631943.05,,507416.1,36150707.47,2433161.41,,3706690.72,52090.25,67303.13,-3906,0,382302.08,0,206762.89,1000,-350585.78,987666.29,0,229685,1231701,32217558.25,9282058.07,107813.52,,635842.5,36719.69,1036254642.83
September,2021,FY 2021-22,583380191.74,397870439.9,444837718.16,,13535875.57,,,152093465.42,284513183.68,148599.88,0,0,0,3942687.75,0,9239219.15,5971411,22927156.68,-1596620,41975,6616099.13,29241008.27,507774.35,1083791.11,,172404.72,21998674.78,105957.49,,1737742.42,16808.62,60742.06,14.99,0,384781.21,0,212176.74,2197.84,-277917.58,55221.45,0,233323,0,30260998.83,8783052.02,1723753.59,,653363.02,22510.88,2020499782.87
October,2021,FY 2021-22,520732508.19,100041650.95,370784482.54,,9868625.71,,,34748117.55,61871559.32,100013.63,7972590.27,1089281,46640353,5420488.26,0,12453368.97,2415.35,-441687.62,671445.56,575338.56,4858651.97,22834234.04,499269.58,1538105.91,,796337,28240309.02,28254073.19,,2897403.68,52726.87,93880.03,0,807758.91,375719.96,1101.72,190458.27,2892.46,162688.28,18513003.31,209456014,422769,1674233,29907698.89,9498599.98,633256.81,,290677.25,11539884.19,1546072298.56
November,2021,FY 2021-22,596192919.84,45173573.88,590544113.94,,14545094.13,,,30536549.63,27352548.13,336547.96,657911,-329106,12581893,7593199.23,40,29766006.97,0,1787639.84,0,41288,7749027.33,28001415.98,570772.22,1678906.51,,1114140.62,38170254.73,60033350.41,,2749455.01,50580.11,63570.24,1175,3491724.99,391843.33,0,311005.42,6695.7,1220919.61,6282246.48,3234134,510937,1117630.23,31576477.59,10026472.01,198753,,398911.25,1414734.89,1557145353.21
December,2021,FY 2021-22,815794562.37,88325832.75,415778408.92,,9515944.72,,,216659032.85,378536161.13,604192.43,47952.41,0,0,1936.99,0,13419815.6,3656796.18,22548789.32,83602,3578.16,8294846.33,24178876.31,431326.91,1760525.3,,381992.47,34418324.37,242941.9,,2206993.15,6967.21,3608688.45,100,-3320556.79,348445,500,182719.5,13942.45,171124.28,2473457,0,0,77114.77,30309792.31,10747465.35,1376592.1,,244910.55,14535.62,2083148230.37
January,2022,FY 2021-22,754232949.35,635937293.13,696735794.89,,9534438.01,,,53097200.93,363914750.72,-39345.64,7662529.6,1010877.8,21864288,13809256.53,0,12668958.57,771300,1294873.58,0,260876.43,6947424.73,22012494.44,571875.27,1471409.9,,2338056.32,22130327.87,94863569.67,,5491511.2,109274.71,5555126.65,21820,377996.41,381648,1938.49,292115,24326.33,386322.05,17049752.13,212560959,773800.76,5104997.2,30055607.1,9490971.08,761333.17,,221702.84,10523302.02,3022275704.24
February,2022,FY 2021-22,662911125.39,68243622.67,433429240.72,,6914164.91,,,25212423.51,20919687.86,242939.79,1553718.06,85071.23,9902513,10018756.08,0,15146837.21,2107741.8,20960592.96,100337,1375833,4067317.05,20180044.43,478243.14,1470038.33,,1464323.35,25354796.42,4817618.6,,4943773.22,32147.19,548341.21,121138.09,570973.38,305535.37,979,324020.71,10022.56,33942.05,4215832.11,0,179600,1559437,26827712.65,8168504.05,235463.13,,198351.56,708844.59,1385941604.38
March,2022,FY 2021-22,999902569.03,109443738.76,418353993.55,,9629942.95,,,216630775.47,598678842.55,547835.14,-636.72,0,0,0,0,23295722.89,11282898.79,51321532.21,294805,6217460.56,6194873.56,23887322.89,510130,1454096.41,,3033423.85,20983636.08,216202.8,,3882902.17,15071.95,142900.48,2323,664585.25,295491,3010.63,197228.19,5528.46,4627104.37,181913.27,0,1110590,0,25982395.85,8441400.54,1418970.01,,240413.39,51335.56,2549142329.89
April,2022,FY 2021-22,589404915.83,2197459768.18,352947522.71,,6723306.71,,,204845292.56,198486944.52,506448.29,7624881,997691,1336113,8191198,0,10770424.92,1700919,883645.02,0,28745.32,3373072.6,19892682.34,453323,1650990.23,,2135534.63,9294913.49,23825500.91,,5439602.95,57760.79,81057.26,1190,514469.9,359427,920,187712.18,1686.25,551700.37,20095527.93,197377686,422894.7,3921601,28866413.41,9831676.42,629337.08,,208003.8,8884764.9,3919967265.2
May,2022,FY 2021-22,577458362.71,150762391.65,598048185.15,,11536862.55,,,65414140.6,26130657.23,202886.9,1947278,-594072,43724843.93,26624353.58,2036,47774624.24,205105.74,3967977.93,7718,103599.91,9085698.26,27097512.45,532756.12,1734081.09,,2037892.54,55726908.12,64908218.73,,3985634.93,55898.54,970901.86,155421,521535.97,251823,848.22,296664,295.69,175566.07,4673746.09,5635145,492038,1838574,1566207.78,9391401.17,244119.78,,208400.74,1883498.88,1746787740.15
June Final,2022,FY 2021-22,1396006425.54,412621749.31,1094589913.14,,32188434.54,,,376392400.52,322502664.15,716026.79,10411724,0,31504263,20344231.81,52122,24232192.15,6174643,35892185.26,99932,15080,14711241.44,45204197.53,1127603.35,1624193.01,,1308996.11,76322318.28,118255468.29,,3621171.01,5034.53,667991.1,1190,819027,360677.22,0,204042.13,650,487355.39,24762319.19,199907886,1764516,4954596,-468291,20098774.99,1107319.28,,215311.5,13178746.01,4293986321.57
July,2022,FY 2022-23,,,,,,,,,,89601.79,,3844000,,,472147.2,19890862.23,464633.12,592201.45,0,155856.99,0,2481864.93,0,1582609.82,,203241.96,0,0,,4579146.69,-34127.44,287714.56,0,157135.07,483457.89,916.22,304221.06,300,111315.67,0,0,0,0,0,0,0,,195024,0,35862123.21
August,2022,FY 2022-23,439172210.55,41284189.54,440344142.6,,14117638.66,,,22539023.61,29938842.88,329877.3,326956,-258074,0,320584.24,40,18957859.8,1218381.71,3395230.54,5146,661065.74,5857886.05,27223922.49,442894.1,1697189.98,,924571.5,18306454.09,197412.71,,3029290.07,172632.94,213075.27,0,543324.09,391952.4,0,186402.94,550,-74419.32,122797.54,0,670142,0,371188.67,10945913.33,666817.72,,598912.82,43813.01,1084885839.57
September,2022,FY 2022-23,595929660.79,363772199,488516622.69,,16414401.39,,,171106414.64,361709117.38,433899.47,0,0,0,0,0,33106039.17,4229953,25082054.87,665195,13323.1,7942024.97,23151619.28,512330.74,1734668.14,,184017.64,41079976.41,768477.58,,1860615.91,9270.94,94849.68,61139.52,463472.29,314427.02,0,220200.23,5500,6443957.38,264652.77,0,57.7,0,-689140.75,12623416.99,1042643.66,,654341.42,1049903.2,2160771303.22
October,2022,FY 2022-23,626545374.72,193831539.1,512870404.25,,13540308.02,,,38454988.07,32168443.18,404004.05,14128309,-1906825,1372206,12634455,0,14807563.82,0,2964808.94,134.3,35094.28,7004758.92,23335982.07,469785.18,1569489.08,,665030.37,23327264.79,96478975.84,,3510785.75,104529.11,132772.78,0,813000.31,500925.09,0,301926.55,11275.26,152609.11,16995222.75,197377920.41,1302777.88,0,240865.88,11156604.71,465815.82,,251628.54,11418939.78,1859439693.71
November,2022,FY 2022-23,636929229.67,45392125.45,510321842.23,,14946296.86,,,39386948.03,38497307.1,1061346.61,1135492,65643,55909798.4,6284612.31,0,27792017.7,-124416,2409857.36,167680,837975,6816092.37,25284633.45,512929.06,1576982.45,,299683.1,27464306.82,8759110.22,,2320979.08,20579.61,49632.34,0,363363.19,406584,0,218725.27,18437.08,-13275975.95,7418379.72,200000,26456.42,0,-77404.68,11768089.88,62975.23,,336961.88,215609.5,1461800885.76
December,2022,FY 2022-23,804817267.98,71207607.65,428954501.37,,11505725.33,,,246260918.76,290559447.97,543215.18,49750,0,0,0,0,8223216.59,3132726.98,25921142.03,297822.84,296423.61,2824863.04,20768450.76,833323.12,1414366.08,,422078.95,23124083.8,88640.75,,3044504.33,4377,2093839.65,0,1749729.69,345650,0,345287.02,23983.82,53010.37,3356849.23,0,100,0,-2232.93,11180207.84,2278245.08,,250934.46,123700.93,1966093759.28
January,2023,FY 2022-23,768025004.41,474982168.75,678290043.46,,11070499.96,,,53611124.63,292100007.03,-48125.77,8149253.69,981282.62,23431276,10545967.84,,11291194.78,1150025,610037.31,0,15704.43,10029240.23,22635210.37,571595.48,1608163.91,,3186506.73,20783425.29,103560592.55,,5746983.93,115507.78,4370429.87,1224,95916.42,381740,0,304651.97,18603.73,3497864.93,18432259.3,197477686,911660,0,176081.64,10893739.26,898493.88,12994.38,215046.55,10738319.06,2750869401.4
February,2023,FY 2022-23,774711996.25,44110294.13,459453213.23,,8729920.93,,,25514192.63,26849706.75,326146.03,16705,3491,9990709,13440577.84,54,6040946.59,6053461,17529341.57,608899,1746728.65,6599443.79,15194400.41,450140.2,1257599.5,215468.78,167363.84,13128272.18,6999883.76,,5964539.97,15812.03,626299.3,378251.07,-1127522.23,342907.39,0,204922.13,7873.08,22819.38,5316370.81,1931891.48,0,0,4766172.92,10311943.34,215031.6,2511395.7,192022.74,1145579.97,1471965266.74
March,2023,FY 2022-23,1027947588.45,88121026.28,436223240.02,,10230557.82,,,236643948.19,482870771.49,71662.55,629842.21,-589035.74,0,0,1967.8,14807860.85,15110676.28,55562217.27,451027,6443514,6594592.02,22706227.25,485838.32,1260621.45,937548.87,148031.32,14807994.3,100041.3,,3570847.99,5557.84,901351.81,10552,198199.47,308637.61,0,198323.96,3244.62,3596685.02,115000,0,0,0,10749839.7,9540852.25,1876663.19,5482254.07,229117.48,158375.27,2458513261.58
April,2023,FY 2022-23,622515781.07,1229758583.77,357098537.07,,8292990.27,,,204436462.4,188543887.26,1160638.88,11517220,931503,1156477,1466164,20,21150746.71,-130479.44,558827.95,204259.45,27874.49,2505836.31,17080901.37,419953.04,1386769.25,739641.87,773477.05,16354220.1,43407232.79,,4931583.27,67670.15,276800.86,0,810046.81,386187,0,197632.81,1445.69,-7171765.46,17128577.26,197727703.33,408179,0,17980566.95,11837260.55,901869.35,4158309.17,176149.78,9750425.06,2990916167.24
May,2023,FY 2022-23,655383989.38,65322346.37,639421556.98,,14324027.92,,,87845599.53,32772371.41,239653.2,1133115.9,-246463.15,47799898,29777938,60,12591312.78,1932592.03,2826646.23,17888,51206.19,9858796.65,25038236.37,578450.73,1376866.71,1150447.84,130703.02,21348425.4,36567610.13,,4320648.03,52581.18,131934.5,0,-10003.07,354790,0,294477.2,496.77,11106.13,6488781,593,1517903,0,23550210.03,10898530.73,34797.66,5709138.68,211203.14,1732261.27,1742542724.87
June Final,2023,FY 2022-23,1365751269.17,295652433.97,1029024817.35,,33797887.67,,,393211390.75,273116793.39,420377.54,12139571.2,0,9919456,15736900.81,104.4,29694817.47,14859468.54,55265116.83,983154,3696,14214422.46,41833586.37,904742.94,1429560.83,1632534.34,2490623.72,57872322.23,95127549.3,,3079700,8592.85,143420.34,2120.26,108612.41,413196,0,199609.42,448.92,-9092.48,23756116.95,200300190,1730031,0,61197226.21,24209505.56,1123599.38,11401809.21,189538.93,16207592.78,4089144815.02
July,2023,FY 2023-24,,,,,,,,,,36250.98,,946069,,,492298.2,8207642.3,221.98,158562.74,0,50322.39,,2312426.78,,1324769.12,1537226.67,571499.79,,,,4797781.01,117478.83,73312.21,1000,72991,457778,0,284620.89,700,-161650.21,,,,,,,,,154932.27,,21436233.95
August,2023,FY 2023-24,592605182.04,43447240.31,548915585.66,,14629632.21,,,21487031.53,28262460.3,156126.63,0,3478,35036983,1317735.48,0,991245.92,6526.82,3536269.21,182060,473413.17,8110210.04,23756124.98,1179629.56,1457392.82,1187051.84,4981605.52,26881896.76,4548420.84,,2547415.13,28285,89531.9,2410,364290.48,441570,0,199519.98,997.85,-156721.73,3038.28,0,0,0,31928170.34,11435463.7,446818.03,4858067.81,596216.8,189914.37,1416128290.58
September,2023,FY 2023-24,574798210.53,309169929.22,358768805.84,,12267357.98,,,191492947.79,305669779.91,426468.87,279165.85,-279990.5,0,0,0,13254794.42,7637194.32,28914684.16,300566,53833,2922298.96,20852377.92,459526.29,1321275.11,874104.77,30366.84,24337149.65,513158.1,,1389483.3,7237.98,123972.11,0,-42828,459238,0,74472.92,2895.69,7133448.18,1488413.39,0,0,0,31879488.96,12226631.61,1410997.32,4551717.68,673579.53,44763.98,1915487517.68
October,2023,FY 2023-24,624960079.87,136403598.74,662430854.36,,18614735.92,,,42950182.82,37748750,129378.74,10607530,1744696.45,2030418,2620913,0,24096380.02,4451.65,117857.25,0,697682,9848928.14,20490573.37,436299.63,1157764.37,2388918.87,7258583.27,24676227.23,91901187.04,,3990557.96,102425.78,112876.15,0,347752.2,448468,0,423460.95,3440.31,27931.93,15960290.88,172848601,850338,0,29783798.5,10969593.94,396116.58,5289486.36,259469.61,551878.64,1965682477.53
November,2023,FY 2023-24,710575652.55,45715829.58,504931686.06,,14590591.72,,,38062161.03,28575725.12,502539.79,232729,12712,58947856,8660714,20,7894685.49,0,2291983.42,0,1705737,6963484.55,20379853.37,447733.92,1318764.54,1497838.45,250762.95,19569114.62,7778936.24,,1941074.83,27916.51,92355.8,0,0,450937,0,209291.21,6494.61,146261.43,3902563.3,24529085,58407,0,31477486.69,11557829.92,261309.67,1594146.75,336722.33,113954.72,1557612948.17
December,2023,FY 2023-24,786192543.69,62835986.15,395998597.63,,11548360.05,,,216435235.8,249309987.04,187176.77,1106375,-1106375,0,-119,51,8559674.82,7370193.33,28659576.74,300567,0,2192578,19264033.89,376860.22,1150058.53,1548551.65,361674.7,19044151.48,178852.94,,2705809.26,4459.86,495664.81,0,-155752,392003,0,73159.44,12739.24,136536.65,1479848.52,0,0,0,30050800.5,11216923.08,1333537.65,374168.82,222430.18,54426.96,1859911348.4
January,2024,FY 2023-24,794773024.65,418355413.31,744582949.7,,11983891.06,,,49683351.39,317211997.35,194021.83,3801482,4241619,1059731,2730559,0,2244647.66,179640,160270.73,0,236936,11240593.24,22459905.26,439159,1133832.11,1677519.96,24347.43,20879566.11,62417882.84,,6783700.31,115144.04,5855263.1,3625,527366.58,401810,,,,,,,,,,,,,,,
February,2024,FY 2023-24,846495086.68,50516507.17,461464969.42,,9281369.46,,,23480625.8,31217382.42,92274.19,3845432,-3614217,39631371,14423981,0,3839688.83,8743284,20819434.02,374454,6754734,4863272.13,15065873.77,380897.59,1000496.22,1393979.47,137127.38,15276097.92,25826559.75,,4973345.33,17925.82,822050.94,364289.18,287772.2,385824,,,,,,,,,,,,,,,
March,2024,FY 2023-24,922674776.75,96386415.75,289319442.55,,7349372.59,,,231992415.1,436542628.62,369930.37,,,,,,16663524.28,13100901.83,51622629.72,546015,1507065,1629324.12,15426227.46,319114,995884.66,1222912.68,199865.93,14785229.15,4305962.47,,2383404.81,4228.06,636493.05,2870,-78000,359955,,79626.22,6222.01,190310.43,326480.49,,,,27325009.42,9895939.42,1549627.35,304573.48,176628.16,39845.44,2150162851.43
April,2024,FY 2023-24,665793118.92,1496124410.35,664006083.81,,13945374.39,,,261948637.46,197181323.69,227586.75,10557909.66,1594323.02,1719568.06,14066295.47,20,24641667.13,25392.06,331796.06,0,152534.71,9440665.58,18439229.22,409878.5,1039995.54,2136993.22,477017.22,16826470.86,61836234.63,,7665161.42,98249.87,179418.25,8301.32,528742,398678,,429150.17,1792.46,48999.74,14933765.33,197382297.19,437256.18,,29509207,10195462.01,446714.6,9860006.26,183497.05,10917072.56,3746146297.72
May,2024,FY 2023-24,717627388.32,81384073.29,509217123.77,,13824398.51,,,69900336.76,29977987.32,514171.6,763598,-726339,51123120,13332788,0,928775.47,2322999.12,3866735.78,116695,293430.37,6280218.39,22635647.56,426053.58,1135150.11,1669469.76,1200575,23569442.37,13647276.75,,3756784.68,20376.69,68474.05,0,-175000,406603,0,195817.57,545.7,20780.5,8520094.45,0,447350.16,0,29336482.5,11623270.32,96083.3,4036850.31,205053.73,12344024.11,1635934706.41
